"Date","P/E","P/B","Div Yield"
"28-Aug-2018","       28.66","        3.82","        1.15"
"29-Aug-2018","       28.55","        3.76","        1.14"
"30-Aug-2018","       28.51","        3.76","        1.15"
"31-Aug-2018","       28.40","        3.76","        1.15"
"03-Sep-2018","       28.16","        3.73","        1.16"
"04-Sep-2018","       28.01","        3.71","        1.16"
"05-Sep-2018","       27.90","        3.69","        1.17"
"06-Sep-2018","       28.05","        3.71","        1.16"
"07-Sep-2018","       28.17","        3.73","        1.15"
"10-Sep-2018","       27.81","        3.68","        1.17"
"11-Sep-2018","       27.44","        3.63","        1.19"
"12-Sep-2018","       27.64","        3.66","        1.18"
"14-Sep-2018","       28.00","        3.71","        1.16"
"17-Sep-2018","       27.66","        3.66","        1.18"
"18-Sep-2018","       27.42","        3.63","        1.19"
"19-Sep-2018","       27.31","        3.61","        1.19"
"21-Sep-2018","       27.09","        3.59","        1.20"
"24-Sep-2018","       26.66","        3.53","        1.22"
"25-Sep-2018","       26.91","        3.56","        1.21"
"26-Sep-2018","       26.87","        3.50","        1.22"
"27-Sep-2018","       26.69","        3.47","        1.23"
"28-Sep-2018","       26.44","        3.47","        1.23"
"01-Oct-2018","       26.62","        3.50","        1.22"
"03-Oct-2018","       26.26","        3.45","        1.24"
"04-Oct-2018","       25.63","        3.37","        1.27"
"05-Oct-2018","       24.95","        3.28","        1.30"
"08-Oct-2018","       25.03","        3.29","        1.30"
"09-Oct-2018","       24.91","        3.27","        1.30"
"10-Oct-2018","       25.30","        3.32","        1.28"
"11-Oct-2018","       24.75","        3.25","        1.31"
"12-Oct-2018","       25.33","        3.33","        1.28"
"15-Oct-2018","       25.42","        3.34","        1.28"
"16-Oct-2018","       25.52","        3.36","        1.27"
"17-Oct-2018","       25.19","        3.32","        1.29"
"19-Oct-2018","       24.83","        3.27","        1.30"
"22-Oct-2018","       24.65","        3.26","        1.31"
"23-Oct-2018","       24.41","        3.22","        1.32"
"24-Oct-2018","       24.60","        3.25","        1.31"
"25-Oct-2018","       24.36","        3.22","        1.33"
"26-Oct-2018","       24.12","        3.19","        1.34"
"29-Oct-2018","       24.65","        3.26","        1.31"
"30-Oct-2018","       24.55","        3.24","        1.32"
"31-Oct-2018","       25.00","        3.29","        1.27"
"01-Nov-2018","       24.98","        3.29","        1.27"
"02-Nov-2018","       25.40","        3.35","        1.25"
